"z,y,force"
-45.30589341903042,0.3556886905882989,0
-44.45504140408085,0.27814036660625685,0
-43.622879976531664,0.19356177356427007,0
-42.80997000719344,0.106608012685432,0
-42.01678799253818,0.021664035892680168,0
-41.2437317232337,-0.05734475942407174,0
-40.49112982252423,-0.12710443957183123,0
-39.759254944906104,-0.18502257712901074,0
-39.048336231515265,-0.229294429807977,0
-38.35856990635983,-0.2589255510713063,0
-37.690127137055505,-0.27371322869688464,0
-37.043158385054944,-0.2741909681294312,0
-36.417794142638584,-0.26154170940334076,0
-35.81414256414449,-0.2374865432543612,0
-35.23228494333385,-0.2041563509110621,0
-34.672270209448,-0.16395403282098217,0
-34.13410960347498,-0.11941483500285788,0
-33.6177724895524,-0.07307176688316938,0
-33.12318392104834,-0.02733228535193757,0
-32.65022419681199,0.015628638593209225,0
-32.19873028673849,0.05395517988602712,0
-31.768498736016095,0.08617447362920166,0
-31.359289507348937,0.11123634857823099,0
-30.970830195428782,0.12852903345280975,0
-30.602820129121113,0.13787206903361343,0
-30.254934028777285,0.13948867958642722,0
-29.9268250662226,0.13396068144666026,0
-29.618127342918417,0.12216961006070702,0
-29.328457926694046,0.10522811793849939,0
-29.057418652259816,0.08440583583742278,0
-28.80459789319894,0.06105381045498263,0
-28.569572463801496,0.03653135614126441,0
-28.351909727075597,0.012138715734745589,0
-28.1511698931786,-0.01094164757260773,0
-27.966908411527278,-0.0316929700445177,0
-27.79867830580364,-0.04929987694530414,0
-27.646032282215835,-0.06317112617414812,0
-27.50852445791484,-0.07294939053091475,0
-27.38571160174291,-0.07850870461383148,0
-27.277153842231474,-0.07994075813896778,0
-27.18241486489999,-0.07753166722542876,0
-27.101061680246936,-0.07173118558337356,0
-27.032664086190604,-0.06311652236282639,0
-26.976793969166927,-0.05235301327423435,0
-26.933024586172237,-0.04015385327894219,0
-26.900929949184114,-0.027240954789688136,0
-26.88008439970098,-0.014308761284497984,0
-26.87006242186813,-0.0019925419410715193,0
-26.87043870475149,0.009157660428974854,0
-26.880788433252132,0.01869663641394222,0
-26.900687766217896,0.026296766788786074,0
-26.929714450436347,0.03175389665235461,0
-26.967448519231745,0.03498663636681681,0
-27.013473031708312,0.036029695455210245,0
-27.067374819943627,0.03502209647122471,0
-27.128745223352528,0.03219129388361098,0
-27.197180799386295,0.027834334957332854,0
-27.27228400611125,0.02229724575865016,0
-27.353663854571394,0.015953809275955307,0
-27.440936527736486,0.009184830506459508,0
-27.533725959527235,0.002358863690114051,0
-27.631664363465376,-0.004184780252030675,0
-27.734392697418887,-0.010150111570594696,0
-27.841561049825287,-0.01529518895372431,0
-27.952828934240163,-0.01943926293300665,0
-28.06786548302968,-0.022466298428414654,0
-28.186349536934408,-0.024325020280615436,0
-28.30796963415178,-0.025025783517766652,0
-28.432423909450215,-0.024634699318484443,0
-28.55941991964407,-0.02326554434699386,0
-28.688674415771303,-0.021070043469996854,0
-28.81991308411402,-0.018227143793004247,0
-28.952870277746683,-0.014931893144443691,0
-29.087288757876188,-0.01138450171590675,0
-29.222919460380712,-0.007780105839187665,0
-29.359521298305115,-0.0042996730073707355,0
-29.49686100627672,-0.001102392919342742,0
-29.634713028413568,0.0016802035614434966,0
-29.772859447690056,0.003948261302969074,0
-29.911089952095924,0.005635720444843311,0
-30.04920183128739,0.006710600951979666,0
-30.1869999966595,0.007173598679006346,0
-30.324297017656598,0.007055209022564705,0
-30.46091316744769,0.006411647158833607,0
-30.596676471612803,0.005319869012093149,0
-30.731422754059462,0.0038720143296643345,0
-30.864995674931215,0.0021695932879529436,0
-30.997246755767712,0.00031772243377256457,0
-31.12803538766352,-0.0015803133857290562,0
-31.257228818714147,-0.0034279365230638365,0
-31.384702117694495,-0.005139400961116467,0
-31.51033811172921,-0.0066430302243006304,0
-31.6340272966916,-0.0078834883181051,0
-31.75566772017425,-0.008823057345816112,0
